"entity","identifier"
"Pittsburgh","l0389"
"Place de Breteuil","l0390"
"Place de l’Alma","l0391"
"(p|P)lace de la Concorde","l0392"
"place de la République","l0393"
"Plaissières","l0394"
"P(lessis|LESSIS)-B(elleville|EL(L)?EVILLE)","l0395"
"Plombières","l0396"
"PLOUJEAN","l0397"
"Ploumanach","l0398"
"Podgora","l0399"
"P(ointe de Grave|OINTE DE GRAVE)","l0400"
"Pologne","l0401"
"(la )?Pologne","l0402"
"Pompéi","l0403"
"Pontvallain","l0404"
"port de Brest","l0405"
"Portsmouth","l0406"
"P(ortugal|ORTUGAL)","l0407"
"Provence","l0408"
"Prusse Rhénane","l0409"
"Prytanée","l0410"
"Pyrénées","l0411"
"Quai d('|’)Orsay","l0412"
"Raillon","l0413"
"Rambouillet","l0414"
"Razouges","l0415"
"R(eims|EIMS)","l0416"
"Rémy-du-Plein","l0417"
"Rennes","l0418"
"(Le )?R(hin|HIN)","l0419"
"Rhône","l0420"
"Rigormer-des-Bois","l0421"
"Rome","l0422"
"Rotterdam","l0423"
"Rouen","l0424"
"Rouessé-Fontaine","l0425"
"Roumanie","l0426"
"Rouperoux-le-Coquet","l0427"
"rue Crébillon","l0428"
"rue Palatine","l0429"
"(r|R)(ue|UE) P(ierre|IERRE)( |-)C(urie|URIE)","l0430"
"Ruillé","l0431"
"R(ussie|USSIE)","l0432"
"Sablé","l0433"
"Sabotino","l0434"
"Saint Calais","l0435"
"Saint Nazaire","l0436"
"Saint-Aubin","l0437"
"Saint-Cyr","l0438"
"Saint-Georges-du-Rocay","l0439"
"(Boulevard )?S(t|T|AINT|aint)-G(ermain|ERMAIN)(-de-la-Coudre)?",""
"Saint-Gervais","l0442"
"Saint-Jean-des-Echelles","l0443"
"Saint-Léonard-des-Bois","l0444"
"Saint-Louis","l0445"
"S(ain)?t-Malo","l0446"
"Saint-Marc","l0447"
"Saint-Martin-des-Monts","l0448"
"S(ain)?t-N(azaire|AZAIRE)","l0449"
"Saint-Oneu-de-Mé","l0450"
"Saint-Pierre-des-Ormes","l0451"
"Saint-Rémy-des-Ponts","l0452"
"Saint-Vincent-des-Prés","l0453"
"S(alonique|ALONI(O|Q)UE)","l0454"
"San Francisco","l0455"
"((l|L)(A|a) )?S(arthe|ARTHE)","l0456"
"Saumur","l0457"
"Savenay","l0458"
"Saverne","l0459"
"S(avoie|AVOIE)","l0460"
"Scandinavie","l0461"
"Sceaux-sur-Huisnes","l0462"
"Schlesvig","l0463"
"Seattle","l0464"
"Sebastopol","l0465"
"Sedan","l0466"
