"entity","identifier"
"(M(.|r) )?(E(.|lihu) )?R(oot|OOT)","p0554"
"Rostand","p0555"
"Alfred Roth","p0556"
"Rotschild","p0557"
"(Jean-Jacques )?(J.J.)?R(ousseau|OUSSEAU)","p0558"
"Henri Rousselle","p0559"
"Dr. G. Roux","p0560"
"Andrew Ruel","p0561"
"Rumbert","p0562"
"(Théodore )?R(uyssen|UYSSEN)","p0563"
"S. E. le Cardinal","p0564"
"Melle Sainte-Marie","p0565"
"Lord Salisbury","p0566"
"(Professeur )?(S. )?S(alvemini|ALVEMINI)","p0567"
"Marc SANGNIER","p0568"
"(Général )?(M. )?(Pedro )?S(angro(s)?|ANGRO(S)?) (d|D)(e|E|i|I) O(lano|LANO)","p0569"
"Santos-Dumont","p0570"
"L(.|ouis) S(ARRUT|arrut)","p0571"
"Jules Sauerwein","p0572"
"Lord SAUNCEFOTE","p0573"
"SCHEIDEIMANN","p0574"
"Schiller","p0575"
"Schneider( du Creuzot)?","p0576"
"Schoelscher","p0577"
"Schoen","p0578"
"M. W. Schucking","p0579"
"Schum(m)?ann","p0580"
"(G(.|abriel) )?S(éailles|EAILLES)","p0581"
"Général S(ébert|EBERT)","p0582"
"Sedgwick Berend","p0583"
"(M(. ?|arcel )?S(embat|EMBAT)","p0584"
"(Colonel )?(John )?(Stephan )?SEWELL","p0585"
"M(.|onsieur) ?S(harp|HARP)","p0586"
"Lord Shaw","p0587"
"T. Shotwell","p0588"
"Sidi Brahim","p0589"
"(Mme.? ?)?(J(.|ules ))?S(iegfried|IEGFRIED)",""
"S(illac|ILLAC)","p0591"
"Siraudin","p0592"
"Sisyphe","p0593"
"Smith","p0594"
"Solvay","p0595"
"Sopwith","p0596"
"(Pasteur )?S(oulié|OULIÉ)","p0597"
"Spencer","p0598"
"STAAL","p0599"
"Staehling","p0600"
"M.E.Stagg Whitin","p0601"
"S(teeg|TEEG)","p0602"
"Stendhal","p0603"
"(M(.|r) )?(O(.|scar) )?(S. )?S(traus(s)?|TRAUS(S)?)","p0604"
"Mr. STUNNE","p0605"
"Surcouf","p0606"
"(M(.|r) )?(W. )?T(aft|AFT)","p0607"
"Taplow","p0608"
"(André )?T(ardieu|ARDIEU)","p0609"
"Général Targe","p0610"
"(M. )?(G(.|ustave) )?T(éry|ERY)","p0611"
"William Thaw","p0612"
"E. Théry","p0613"
"M. J. Thierry","p0614"
"(M. )?T(hiers|HIERS)","p0615"
"A(.|(l|L)bert) T(homas|HOMAS)","p0616"
"Tiepolo","p0617"
"(Amiral )?Tirpitz","p0618"
"Tolstoï","p0619"
"Tornielli","p0620"
"Président TOZES","p0621"
"Tripler","p0622"
"(S. E. )?L(ou|OU) T(sen(g|c)|SEN(G|C)) T(siang|SIANG)","p0623"
"M. E(.|edward) T(UCK|uck)","p0624"
"Tuffier","p0625"
"Tunberry","p0626"
"Tzar Ferdinand","p0627"
"Alberto ULLOA","p0628"
"Unwin","p0629"
"M. Valdeck-Rousseau","p0630"
"Vallé","p0631"
"(M. )?(V|v)an der Does de (V|W)illebois","p0632"
"M. VAN OVERBERGE","p0633"
"V(andervelde|ANDERVELDE)","p0634"
"Vaschalde","p0635"
"(M. )?V(ENIZELOS|enizelos)","p0636"
"(A(bbé|BBÉ) )?(V|W)(etterlé|ETTERLÉ)","p0637"
"Pro(r|f)esseur Vidal","p0638"
"Adolfo VILLAGARCIA","p0639"
"Villain","p0640"
"Vicente VILLARAN","p0641"
"Daniel Vincent","p0642"
"Vindex","p0643"
"(M. )?(R(.|ené) )?V(iviani|IVIANI)","p0644"
"Voltaire","p0645"
"(PASTEUR )?(Richard )?(w|W)(agner|AGNER)","p0646"
"(M. )?(Madame )?(Hugh C. )?(H. )?WALLACE",""
"M. WALSH","p0648"
"(M. )?Whit(h)?ney Warren","p0649"
"Lord W(eardale|EARDALE)","p0650"
"Weill","p0651"
"Sir William WEIR","p0652"
"(M. )?(A(.|ndré) )?W(EISS|eiss)","p0653"
"(P(résident|RÉSIDENT) )?W(heeler|HEELER)","p0654"
"Henry W(hite|HITE)","p0655"
"William Wallace Lyons","p0656"
"M. WYTHE WILLIAMS","p0657"
"(Madame )?(M. )?((le )?(p|P)(résident|R(É|E)SIDENT) )?W(ilson|ILSON)",""
"(Wilbur )?Wright","p0660"
"Xavier de Maistre","p0661"
"Zola","p0662"
"(Professeur )?Z(ORN|orn)","p0663"
"Liebnecht","p0664"
