"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief12vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 1 juin 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 1 June 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 1. Juni 1767)","correspondance","Johann Albrecht Euler","1767-06-01","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief13vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 1767)","correspondance","Johann Albrecht Euler","1767","fr de","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief14vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 14 août 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 14 August 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 14. August 1767)","correspondance","Johann Albrecht Euler","1767-08-14","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief15vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 21 août 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 21 August 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 21. August 1767)","correspondance","Johann Albrecht Euler","1767-08-21","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief16vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 31 août 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 31 August 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 31. August 1767)","correspondance","Johann Albrecht Euler","1767-08-31","fr la","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief17vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 7 septembre 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 7 septembre 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 7. September 1767)","correspondance","Johann Albrecht Euler","1767-09-07","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief18vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 21 octobre 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 21 October 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 12. October 1767)","correspondance","Johann Albrecht Euler","1767-10-12","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief19vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 2 novembre 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 2 novembre 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 2. November 1767)","correspondance","Johann Albrecht Euler","1767-11-02","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief20vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 3 décembre 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 3 Decembre 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 3. Dezember 1767)","correspondance","Johann Albrecht Euler","1767-12-03","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief21vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 28 janvier 1768)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 28 January 1768)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 28. Januar 1768)","correspondance","Johann Albrecht Euler","1768-01-28","fr la","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
