"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief013ChamissoandeLaFoye","Lettre d'Adelbert von Chamisso à Louis de La Foye (probablement Berlin, 19 juillet 1805)","Letter from Adelbert von Chamisso to Louis de La Foye (probably Berlin, 19 july 1805)","Brief von Adelbert von Chamisso an Louis de La Foye (wahrscheinlich Berlin, 19. Juli 1805)","correspondance","Adelbert von Chamisso","1805-07-19","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462424"
"Brief014ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (probablement Altendorf, 17 février 1806)"," Letter from Adelbert von Chamisso to Louis de La Foye (probably Altendorf, 17 February 1806)"," Brief von Adelbert von Chamisso an Louis de La Foye (vermutlich Altendorf bei Holzmünden, 17. Februar 1806)","correspondance","Adelbert von Chamisso","1806-02-17","de fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462425"
"Brief016ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu ni date)","Letter from Adelbert von Chamisso to Louis de La Foye (without place and date)","Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort und Datum)","correspondance","Adelbert von Chamisso","Unknown","de grc","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462426"
"Brief017ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Hameln, 10 juillet 1806)"," Letter from Adelbert von Chamisso to Louis de La Foye (Hameln, 10 July 1806)"," Brief von Adelbert von Chamisso an Louis de La Foye (Hameln, 10.Juli 1806)","correspondance","Adelbert von Chamisso","1806-07-10","de grc fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462427"
"Brief018ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Hameln, 23 août 1806)"," Letter from Adelbert von Chamisso to Louis de La Foye (Hameln, 23 August 1806)"," Brief von Adelbert von Chamisso an Louis de La Foye (Hameln, 23. August 1806)","correspondance","Adelbert von Chamisso","1806-08-23","de grc fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462428"
"Brief019ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu ni date)"," Letter from Adelbert von Chamisso to Louis de La Foye (without place and date)"," Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort und Datum)","correspondance","Adelbert von Chamisso","Unknown","de grc","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462429"
"Brief020ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu ni date)"," Letter from Adelbert von Chamisso to Louis de La Foye (without place and date)"," Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort und Datum)","correspondance","Adelbert von Chamisso","Unknown","de","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462430"
"Brief022ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Paris, 9 décembre 1806)"," Letter from Adelbert von Chamisso to Louis de La Foye (Paris, 9 December 1806)"," Brief von Adelbert von Chamisso an Louis de La Foye (Paris, 9. Dezember 1806)","correspondance","Adelbert von Chamisso","1806-12-09","de fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462431"
"Brief023ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Vertus, 16 janvier 1807)","Letter from Adelbert von Chamisso to Louis de La Foye (Vertus, 16 January 1807)","Brief von Adelbert von Chamisso an Louis de La Foye (Vertus, 16. Januar 1807)","correspondance","Adelbert von Chamisso","1807-01-16","de grc fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462432"
"Brief024ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Vertus, 29 janvier 1807)","Letter from Adelbert von Chamisso to Louis de La Foye (Vertus, 29 January 1807)","Brief von Adelbert von Chamisso an Louis de La Foye (Vertus, 29. Januar 1807)","correspondance","Adelbert von Chamisso","1807-01-29","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462433"
"Brief025ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Vertus, 07 mai 1810)","Letter from Adelbert von Chamisso to Louis de La Foye (Vertus, 07 May 1810)","Brief von Adelbert von Chamisso an Louis de La Foye (Vertus, 07. Mai 1810)","correspondance","Adelbert von Chamisso","1810-05-07","de fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462434"
"Brief026ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Vertus, entre le 10 et le 27 janvier 1807)","Letter from Adelbert von Chamisso to Louis de La Foye (Vertus, between 10 and 27 January 1807)","Brief von Adelbert von Chamisso an Louis de La Foye (Vertus, zwischen dem 10. und 27. Januar 1807)","correspondance","Adelbert von Chamisso","1807-01-10","de grc fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462435"
"Brief027ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (probablement Paris, juillet 1810)"," Letter from Adelbert von Chamisso to Louis de La Foye (probably Paris, July 1810)"," Brief von Adelbert von Chamisso an Louis de La Foye (vermutlich Paris, Juli 1810)","correspondance","Adelbert von Chamisso","Unknown","de fr grc","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462436"
"Brief028ChamissoandeLaFoye","Lettre d' Adelbert de Chamisso à Louis de La Foye (probablement Paris, mai 1810)","Letter from Adelbert von Chamisso to Louis de La Foye (probably Paris, May 1810)","Brief von Adelbert von Chamisso an Louis de La Foye (vermutlich Paris, Mai 1810)","correspondance","Adelbert von Chamisso","Unknown","de fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462437"
"Brief029ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (avec une copie d'une lettre de Hippolyte de Chamisso à Adelbert de Chamisso) (Napoléon-Vendée, 15 février 1811)","Letter from Adelbert von Chamisso to Louis de La Foye (with a copy of a letter from Hippolyte de Chamisso to Adelbert von Chamisso) (Napoléon-Vendée, 15 February 1811)","Brief von Adelbert von Chamisso an Louis de La Foye (mit einer Abschrift eines Briefes von Hippolyte de Chamisso an Adelbert von Chamisso) (Napoléon-Vendée, 15. Februar 1811)","correspondance","Adelbert von Chamisso","1811-02-15","fr de la","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462438"
"Brief031ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (1810)","Letter from Adelbert de Chamisso to Louis de La Foye (1810)","Brief von Adelbert de Chamisso an Louis de La Foye (1810)","correspondance","Adelbert von Chamisso","1810","de grc fr la","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462439"
"Brief032ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Paris, 04 juin 1810)","Letter from Adelbert von Chamisso to Louis de La Foye (Paris, 04 June 1810)","Brief von Adelbert von Chamisso an Louis de La Foye (Paris, 04. Juni 1810)","correspondance","Adelbert von Chamisso","1810-06-04","de fr grc","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462440"
"Brief034ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (Paris, 13 ou 21 juillet 1810)"," Letter from Adelbert von Chamisso to Louis de La Foye (Paris, 13 or 21 July 1810)"," Brief von Adelbert von Chamisso an Louis de La Foye (Paris, 13. oder 21. Juli 1810)","correspondance","Adelbert von Chamisso","1810-07-13","de fr","Inconnu","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462441"
"Brief039ChamissoandeLaFoye","Lettre de Adelbert von Chamisso à Louis de La Foye (Genève ou Coppet, juin ou juillet 1812)","Letter from Adelbert von Chamisso to Louis de La Foye (Geneva or Coppet, June or July 1812)","Brief von Adelbert von Chamisso an Louis de La Foye (Genf oder Coppet, Juni oder Juli 1812)","correspondance","Adelbert von Chamisso","1812-06","de fr la","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462442"
